#SampleID	Accession_number	Species	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
11358.1176	ERS2585599	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1184	ERS2585607	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1186	ERS2585609	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1196	ERS2585619	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11358.1214	ERS2585637	Homo_sapiens	Africa	traditional	hunter_gatherer	hunter_gatherer	Hadza	keep	Homo_sapiensTanzania	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
10052.MG.F26	ERS611730	Homo_sapiens	South_America	traditional	hunter_gatherer	hunter_gatherer	Venezuela	keep	Homo_sapiensVenezuela	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
10052.MG.F36	ERS611733	Homo_sapiens	South_America	traditional	hunter_gatherer	hunter_gatherer	Venezuela	keep	Homo_sapiensVenezuela	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
10052.MG.F48	ERS611734	Homo_sapiens	South_America	traditional	hunter_gatherer	hunter_gatherer	Venezuela	keep	Homo_sapiensVenezuela	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
10052.MG.F49	ERS611735	Homo_sapiens	South_America	traditional	hunter_gatherer	hunter_gatherer	Venezuela	keep	Homo_sapiensVenezuela	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
10052.MG.F5	ERS611736	Homo_sapiens	South_America	traditional	hunter_gatherer	hunter_gatherer	Venezuela	keep	Homo_sapiensVenezuela	hunter_gatherer	Human	Ape	Human	Human_Non_Industrialized	Savannah
11212.AC674	ERS1931245	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
