OrigID	#SampleID	Accession_number	Species	country	country_of_birth	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
JB28	JB28_GAGTGG_L003_R1_001_kneaddata	ERX2201522	Papio_anubis	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Papio anubis	Papio_anubis	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB29	JB29_ATGTCA_L004_R1_001_kneaddata	ERX2201523	Theropithecus_gelada	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Theropithecus gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB3	JB3_CCGTCC_L004_R1_001_kneaddata	ERX2201524	Theropithecus_gelada	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Theropithecus gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB32	JB32_GTCCGC_L004_R1_001_kneaddata	ERX2201525	Theropithecus_gelada	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Theropithecus gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
JB34	JB34_GTGAAA_L004_R1_001_kneaddata	ERX2201526	Theropithecus_gelada	Ethiopia	Ethiopia	Africa	na	na	na	Ethiopia	keep	Theropithecus gelada	Theropithecus_gelada	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
LabEllis3	LabEllis3_AGTCAA_L003_R1_001_kneaddata	ERX2201527	Lagothrix_lagotricha	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Lagothrix lagotricha	Lagothrix_lagotricha	NWM	NWM	NHP	NWM	na
LagAb2	LagAb2_AGTTCC_L003_R1_001_kneaddata	ERX2201528	Lagothrix_lagotricha	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Lagothrix lagotricha	Lagothrix_lagotricha	NWM	NWM	NHP	NWM	na
LagEllis1	LagEllis1_ATGTCA_L003_R1_001_kneaddata	ERX2201529	Lagothrix_lagotricha	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Lagothrix lagotricha	Lagothrix_lagotricha	NWM	NWM	NHP	NWM	na
LagEllis4	LagEllis4_CCGTCC_L003_R1_001_kneaddata	ERX2201530	Lagothrix_lagotricha	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Lagothrix lagotricha	Lagothrix_lagotricha	NWM	NWM	NHP	NWM	na
LagEllis5	LagEllis5_GTCCGC_L003_R1_001_kneaddata	ERX2201531	Lagothrix_lagotricha	Ecuador	Ecuador	South America	na	na	na	Ecuador	no	Lagothrix lagotricha	Lagothrix_lagotricha	NWM	NWM	NHP	NWM	na
